id,name,descriptive_name,id_number,isic,producer,produce,produce_name,production_inputs,production_added_values,production_rate,production_quantity,production_material_efficiency,production_labour_efficiency,production_energy_efficiency,contact_name,contact_email,contact_phone,contact_phone2,contact_website,address,address_street,address_city,address_country,address_postal_code,total_inputs_cost,total_value_added,price
12,Design Production,,4218,A4406_637_3,5714,2160,Someone Good,"{""A2901_732_97121"": 18, ""A4173_965_13"": 26}","{""wages"": 5, ""surplus"": 7, ""taxes"": 9, ""mixed_income"": 15}",28,40,,,,,,,,,,,,,,,,1998
13,Sure Production,,4890,A4406_637_3,4967,2160,Single Good,"{""A4486_228_17897"": 22, ""A6638_188_005"": 46, ""A4173_965_13"": 33, ""A2901_732_97121"": 14}","{""wages"": 20, ""surplus"": 9, ""taxes"": 14, ""mixed_income"": 16}",93,39,,,,,,,,,,,,,,,,1576
14,Tree Production,,4638,A4406_637_3,9077,2160,Dog Good,"{""A4486_228_17897"": 26, ""A4173_965_13"": 9, ""A6638_188_005"": 20}","{""wages"": 7, ""surplus"": 9, ""taxes"": 8, ""mixed_income"": 15}",42,76,,,,,,,,,,,,,,,,3231
15,Television Production,,4633,A4406_637_3,6901,2160,Sign Good,"{""A6638_188_005"": 35, ""A4486_228_17897"": 45, ""A4173_965_13"": 22}","{""wages"": 3, ""surplus"": 16, ""taxes"": 7, ""mixed_income"": 2}",44,100,,,,,,,,,,,,,,,,4205
16,IMPORT,,92203,A4486_228_17897,99999,2203,Involve Good,"{""A9999_999_999"": 531}","{""tariffs"": 17}",0,-1,,,,,,,,,,,,,,,,539
17,Provide Production,,4779,A4486_228_17897,6705,2203,Against Good,"{""A4173_965_13"": 25, ""A6638_188_005"": 26, ""A2901_732_97121"": 35}","{""wages"": 20, ""surplus"": 8, ""taxes"": 17, ""mixed_income"": 11}",41,66,,,,,,,,,,,,,,,,4421
18,Increase Production,,4855,A4486_228_17897,5789,2203,Almost Good,"{""A2901_732_97121"": 22, ""A4406_637_3"": 11, ""A6638_188_005"": 39, ""A4173_965_13"": 29}","{""wages"": 11, ""surplus"": 10, ""taxes"": 15, ""mixed_income"": 11}",52,100,,,,,,,,,,,,,,,,1888
19,Political Production,,4252,A4486_228_17897,2014,2203,Beat Good,"{""A4173_965_13"": 2, ""A2901_732_97121"": 25, ""A6638_188_005"": 4, ""A4406_637_3"": 3}","{""wages"": 6, ""surplus"": 11, ""taxes"": 7, ""mixed_income"": 10}",7,50,,,,,,,,,,,,,,,,785
20,Send Production,,4564,A4486_228_17897,8381,2203,Accept Good,"{""A4173_965_13"": 24, ""A6638_188_005"": 11, ""A2901_732_97121"": 40, ""A4406_637_3"": 37}","{""wages"": 5, ""surplus"": 10, ""taxes"": 2, ""mixed_income"": 5}",34,40,,,,,,,,,,,,,,,,4646
21,IMPORT,,92467,A6638_188_005,99999,2467,Expert Good,"{""A9999_999_999"": 357}","{""tariffs"": 50}",0,-1,,,,,,,,,,,,,,,,377
22,Condition Production,,4101,A6638_188_005,9401,2467,Too Good,"{""A4486_228_17897"": 33, ""A4173_965_13"": 47, ""A2901_732_97121"": 36, ""A4406_637_3"": 17}","{""wages"": 10, ""surplus"": 6, ""taxes"": 13, ""mixed_income"": 16}",49,62,,,,,,,,,,,,,,,,2421
23,Apply Production,,4111,A6638_188_005,4075,2467,Different Good,"{""A4173_965_13"": 29, ""A4406_637_3"": 30, ""A4486_228_17897"": 36, ""A2901_732_97121"": 44}","{""wages"": 17, ""surplus"": 18, ""taxes"": 20, ""mixed_income"": 17}",23,52,,,,,,,,,,,,,,,,3497
24,Federal Production,,4168,A6638_188_005,9545,2467,Price Good,"{""A4406_637_3"": 7, ""A4486_228_17897"": 46}","{""wages"": 5, ""surplus"": 3, ""taxes"": 12, ""mixed_income"": 11}",2,91,,,,,,,,,,,,,,,,4948
25,True Production,,4203,A6638_188_005,7745,2467,Sign Good,"{""A2901_732_97121"": 30, ""A4406_637_3"": 41}","{""wages"": 15, ""surplus"": 7, ""taxes"": 4, ""mixed_income"": 5}",94,18,,,,,,,,,,,,,,,,665
